Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,movieId,title,genres,movie_title,year
Descendants 2,2017,TV-G,21 Jul 2017,111,Action|Adventure|Family|Fantasy|Romance,Kenny Ortega,"Sara Parriott, Josann McGibbon","Dove Cameron, Cameron Boyce, Sofia Carson, Booboo Stewart",English,USA,3 nominations.,-1.0,6.5,"9,162",tt5117876,175795.0,Descendants 2 (2017),Action|Adventure|Children|Comedy,Descendants 2,2017.0
Diary of a Wimpy Kid,2010,PG,19 Mar 2010,120,Comedy|Drama|Family,Thor Freudenthal,"Jackie Filgo, Jeff Filgo, Gabe Sachs","Zachary Gordon, Robert Capron, Rachael Harris","English, German","United States, United Kingdom",5 wins & 9 nominations,56.0,6.2,"48,152",tt1196141,77206.0,Diary of a Wimpy Kid (2010),Children|Comedy,Diary of a Wimpy Kid,2010.0
Disney Descendants: School of Secrets,2015,G,01 Jul 2015,-1,Fantasy,,,"Dianne Doan, Chloe Madison, Salina Marie Carter",English,United States,,-1.0,6.7,152,tt4849844,,,,,
Disney Family Sundays,2019,TV-G,12 Nov 2019,8,Family|Reality-TV,,,"Stacey Freeman, Pham Viet Dung, Pham Viet Dung",English,United States,,-1.0,5.6,38,tt11199552,,,,,
Disney's Doug,1996,TV-Y,07 Sep 1996,30,Animation|Comedy|Drama,,Jim Jinkins,"Thomas McHugh, Constance Shulman, Doris Belack",English,United States,2 nominations,-1.0,6.6,620,tt0122815,,,,,
Disneynature: Wings of Life,2011,G,16 Apr 2013,81,Documentary|Family|News,Louie Schwartzberg,Louie Schwartzberg,Meryl Streep,English,"United States, Panama, Mexico",,-1.0,7.4,604,tt1222816,,,,,
Dog Whisperer with Cesar Millan,2004,TV-G,13 Sep 2004,110,Family|Reality-TV,,,"Cesar Millan, Daddy, Paul Dini",English,United States,Nominated for 3 Primetime Emmys. 2 wins & 5 nominations total,-1.0,8.0,"2,731",tt0423642,,,,,
Don't Look Under the Bed,1999,TV-PG,09 Oct 1999,100,Family|Fantasy|Horror,Kenneth Johnson,Mark Edward Edens,"Erin Chambers, Ty Hodges, Robin Riker, Steve Valentine",English,USA,1 nomination.,-1.0,6.9,"2,795",tt0208101,135272.0,Don't Look Under the Bed (1999),Children|Drama,Don't Look Under the Bed,1999.0
Donald's Golf Game,1938,TV-PG,04 Nov 1938,8,Animation|Short|Comedy,Jack King,"Carl Barks, Jack Hannah, Ted Osborne",Clarence Nash,English,United States,,-1.0,6.7,"1,118",tt0030069,,,,,
Donald's Tire Trouble,1943,G,29 Jan 1943,7,Family|Comedy|Animation,Dick Lundy,"Carl Barks, Harry Reeves",Clarence Nash,English,United States,,-1.0,6.7,831,tt0035820,182007.0,Donald's Tire Trouble (1943),Animation,Donald's Tire Trouble,1943.0
Double Teamed,2002,TV-G,18 Jan 2002,93,Biography|Drama|Family|Sport,Duwayne Dunham,"Douglas Penn (story), John Wierick (story), John Wierick (teleplay)","Poppi Monroe, Annie McElwain, Teal Redmann, Nick Searcy",English,USA,,-1.0,6.1,"3,318",tt0281905,143231.0,Double Teamed (2002),Children|Drama,Double Teamed,2002.0
"Dr. T, Lone Star Vet",2019,G,13 Oct 2019,-1,Reality-TV,,,"Chris Payne Gilbert, Lauren Thielen, Maryanne Farmer",English,United States,,-1.0,8.3,91,tt11151654,,,,,
DuckTales the Movie: Treasure of the Lost Lamp,1990,G,03 Aug 1990,74,Animation|Adventure|Comedy,Bob Hathcock,"Alan Burnett, Carl Barks, Ted Osborne","Alan Young, Christopher Lloyd, Terence McGovern",English,"France, United States",1 nomination,-1.0,6.8,"26,475",tt0099472,,,,,
Dug's Special Mission,2009,TV-PG,10 Nov 2009,5,Animation|Short|Comedy|Family,Ronnie Del Carmen,Ronnie Del Carmen,"Bob Peterson, Delroy Lindo, Jerome Ranft",English,USA,,-1.0,7.0,"5,916",tt1537759,109425.0,Dug's Special Mission (2009),Animation|Children|Comedy,Dug's Special Mission,2009.0
Early to Bed,1941,Approved,11 Jul 1941,8,Animation|Short|Comedy,Jack King,"Carl Barks, Chuck Couch, Jack Hannah",Clarence Nash,English,United States,,-1.0,7.1,"1,074",tt0033568,182015.0,Early to Bed (1941),Animation,Early to Bed,1941.0
Earth Live,2017,G,09 Jul 2017,-1,Documentary,Glenn Weiss,"Lewis Friedman, Ann Slichter, Grant Taylor","Jane Lynch, Phil Keoghan",English,United States,,-1.0,5.3,64,tt7008868,,,,,
Easter Island Unsolved,2018,G,,44,Documentary,Geoffrey Luck,,"Mitchell Alapa, Jani Benzou, Peter DeMeo","English, Italian",United Kingdom,,-1.0,-1.0,6,tt16411500,,,,,
Eddie's Million Dollar Cook-Off,2003,TV-G,18 Jul 2003,110,Comedy|Family|Sport,Paul Hoen,"Jack Jason (story), Rick Bitzelberger (story), Dan Berendsen (story), Dan Berendsen (teleplay)","Taylor Ball, Orlando Brown, Reiley McClendon, Mark L. Taylor",English,USA,,-1.0,6.1,"2,632",tt0365149,,,,,
Emil and the Detectives,1964,Approved,18 Dec 1964,99,Comedy|Crime|Drama,Peter Tewksbury,"AJ Carothers, Erich Kästner","Walter Slezak, Bryan Russell, Roger Mobley",English,United States,,-1.0,6.2,691,tt0058056,203884.0,Emil and the Detectives (1964),Action|Adventure|Comedy|Crime,Emil and the Detectives,1964.0
Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004,G,20 Sep 2004,151,Documentary|History|Sci-Fi,"Edith Becker, Kevin Burns",Ed Singer,"Robert Clotworthy, Walter Cronkite, George Lucas, Steven Spielberg",English,USA,Nominated for 1 Primetime Emmy. Another 1 win.,-1.0,8.3,"4,388",tt0416716,79006.0,Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004),Documentary,Empire of Dreams: The Story of the 'Star Wars' Trilogy,2004.0
Encore!,2019,TV-PG,12 Nov 2019,60,Musical|Reality-TV,,,"Kristen Bell, Matt Fowler, Adam Wachter",English,United States,1 win & 1 nomination,-1.0,7.7,622,tt7759016,,,,,
Escape to Witch Mountain,1975,G,21 Mar 1975,97,Adventure|Family|Fantasy,John Hough,"Robert Malcolm Young, Alexander Key","Eddie Albert, Ray Milland, Donald Pleasence",English,United States,,60.0,6.3,"10,208",tt0072951,1009.0,Escape to Witch Mountain (1975),Adventure|Children|Fantasy,Escape to Witch Mountain,1975.0
Even Stevens,2000,TV-G,17 Jun 2000,30,Comedy|Family,,Matt Dearborn,"Shia LaBeouf, Christy Carlson Romano, A.J. Trauth",English,United States,Won 1 BAFTA Film Award6 wins & 20 nominations total,-1.0,7.6,"14,463",tt0206511,,,,,
Ferdinand the Bull,1938,Approved,25 Nov 1938,8,Animation|Short|Comedy,Dick Rickard,"Munro Leaf, Robert Lawson, Vernon Stallings","Don Wilson, Walt Disney, Milt Kahl",English,United States,Won 1 Oscar. 1 win total,-1.0,7.2,"3,031",tt0030128,136441.0,Ferdinand the Bull (1938),Animation|Children|Comedy,Ferdinand the Bull,1938.0
Float,2019,PG,12 Nov 2019,7,Animation|Short|Drama,Bobby Rubio,Bobby Rubio,"Eli Fucile, Bobby Rubio, Luna Watson",English,United States,,-1.0,7.3,"3,627",tt9536846,118298.0,,Drama|Romance,,
Flowers and Trees,1932,Approved,30 Jul 1932,8,Animation|Short|Comedy,Burt Gillett,,"Pinto Colvig, Walt Disney, Esther Campbell",English,United States,Won 1 Oscar. 2 wins total,-1.0,7.3,"3,036",tt0022899,145180.0,Flowers and Trees (1932),Animation,Flowers and Trees,1932.0
Food for Feudin',1950,Approved,11 Aug 1950,7,Comedy|Family|Animation,Charles A. Nichols,"Milt Schaffer, Dick Kinney","Pinto Colvig, Dessie Flynn, James MacDonald",English,United States,,-1.0,6.7,673,tt0042471,,,,,
Midway Is for the Birds,2001,G,,19,Short|War,Fred Heiman,Fred Heiman,"Peggy Heiman, Ken Neithammer",English,United States,,-1.0,-1.0,-1,tt4685382,,,,,
Frank and Ollie,1995,PG,20 Oct 1995,89,Documentary,Theodore Thomas,Theodore Thomas,"Frank Thomas, Ollie Johnston, Sylvia Roemer",English,United States,1 win,-1.0,7.7,904,tt0113104,398.0,Frank and Ollie (1995),Documentary,Frank and Ollie,1995.0
Free Solo,2018,PG-13,13 Dec 2018,100,Documentary|Adventure|Sport,"Jimmy Chin, Elizabeth Chai Vasarhelyi",,"Alex Honnold, Tommy Caldwell, Jimmy Chin",English,United States,Won 1 Oscar. 30 wins & 55 nominations total,83.0,8.1,"64,561",tt7775622,193950.0,Free Solo (2018),Documentary,Free Solo,2018.0
Frenemies,2012,TV-G,13 Jan 2012,87,Comedy|Drama|Family,Daisy von Scherler Mayer,"Alexa Young (based on a novel by), Dava Savel (teleplay by), Dava Savel (television story by), Wendy Weiner (teleplay by), Dava Savel (teleplay by), James Krieg (teleplay by), James Krieg (television story by)","Bella Thorne, Zendaya, Mary Mouser, Nick Robinson",English,USA,3 nominations.,-1.0,5.1,"4,356",tt1865368,150234.0,Frenemies (2012),Children|Drama,Frenemies,2012.0
Full-Court Miracle,2003,TV-G,21 Nov 2003,90,Drama|Family|Sport,Stuart Gillard,"Joel Silverman, Joel Kauffmann, Donald C. Yost","Alex D. Linz, Richard T. Jones, R.H. Thomson, Sean Marquette",English,USA,4 nominations.,-1.0,5.8,926,tt0382142,,,,,
Fun and Fancy Free,1947,Approved,12 Mar 1948,73,Animation|Adventure|Comedy,"Jack Kinney, Hamilton Luske, William Morgan","Homer Brightman, Harry Reeves, Ted Sears","Edgar Bergen, Dinah Shore, Luana Patten",English,United States,,66.0,6.5,"8,150",tt0039404,3759.0,Fun and Fancy Free (1947),Animation|Children|Musical,Fun and Fancy Free,1947.0
Fuzzbucket,1986,G,18 May 1986,46,Adventure|Comedy|Family,Mick Garris,Mick Garris,"Chris Hebert, Phil Fondacaro, Joe Regalbuto, Wendy Phillips",English,USA,1 nomination.,-1.0,7.6,155,tt0286639,,,,,
Gargoyles,1994,TV-Y7,24 Oct 1994,30,Animation|Action|Adventure,,Greg Weisman,"Keith David, Salli Richardson-Whitfield, Jeff Bennett",English,"United States, Canada",1 win & 12 nominations,-1.0,8.1,"16,041",tt0108783,163208.0,,Fantasy|Horror,,
Geek Charming,2011,TV-G,11 Nov 2011,94,Comedy|Drama|Family|Romance,Jeffrey Hornaday,"Robin Palmer (based on the novel by), Elizabeth Hackett (teleplay by), Hilary Galanoy (teleplay by)","Sarah Hyland, Matt Prokop, Sasha Pieterse, Jordan Nichols",English,USA,1 nomination.,-1.0,6.4,"11,674",tt1835977,101262.0,Geek Charming (2011),Comedy,Geek Charming,2011.0
Genius,1999,TV-G,21 Aug 1999,82,Comedy|Family|Romance|Sci-Fi,Rod Daniel,"John Rieck (story), John Rieck (teleplay), Jim Lincoln (teleplay), Dan Studney (teleplay)","Trevor Morgan, Emmy Rossum, Charles Fleischer, Yannick Bisson",English,USA,2 nominations.,-1.0,6.2,"1,760",tt0193187,142576.0,Genius (1999),Children|Comedy|Drama,Genius,1999.0
Geri's Game,1997,G,25 Nov 1997,5,Animation|Short|Family,Jan Pinkava,Jan Pinkava,Bob Peterson,None,United States,Won 1 Oscar. 9 wins & 1 nomination total,-1.0,7.9,"24,665",tt0131409,95654.0,Geri's Game (1997),Animation|Children,Geri's Game,1997.0
Get a Clue,2002,TV-G,20 Jul 2002,83,Comedy|Crime|Family|Mystery,Maggie Greenwald,Alana Sanko,"Lindsay Lohan, Bug Hall, Ian Gomez, Brenda Song",English,USA,,-1.0,5.1,"6,074",tt0282521,141038.0,Get a Clue (2002),Children|Comedy|Mystery,Get a Clue,2002.0
Giants of the Deep Blue,2018,G,,-1,Short|Documentary,,,,English,,,-1.0,-1.0,-1,tt14277172,,,,,
Go Figure,2005,TV-G,10 Jun 2005,88,Action|Comedy|Drama|Family|Romance|Sport,Francine McDougall,"Patrick J. Clifton, Beth Rigazio","Jordan Danger, Whitney Sloan, Cristine Rose, Ryan Malgarini",English,USA,1 nomination.,-1.0,5.7,"3,448",tt0447987,164707.0,Go Figure (2005),Children|Comedy|Drama,Go Figure,2005.0
Going to the Mat,2004,G,19 Mar 2004,120,Drama|Family|Sport,Stuart Gillard,"Chris Nolan (story), Laurie Nolan (story), Chris Nolan (teleplay), Laurie Nolan (teleplay), Steve Bloom (teleplay), Stu Krieger (teleplay)","Andrew Lawrence, Khleo Thomas, Alessandra Torresani, Wayne Brady",English,USA,1 win & 3 nominations.,-1.0,6.9,"1,305",tt0399104,143235.0,Going to the Mat (2004),(no genres listed),Going to the Mat,2004.0
"Good Luck Charlie, It's Christmas!",2011,TV-G,02 Dec 2011,90,Comedy|Drama|Family,Arlene Sanford,"Phil Baker (creator), Drew Vaupen (creator), Geoff Rodkey","Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico","English, Korean",USA,,-1.0,6.4,"5,342",tt1828976,167536.0,"Good Luck Charlie, It's Christmas! (2011)",Children|Comedy,"Good Luck Charlie, It's Christmas!",2011.0
Goof Troop,1992,TV-Y,05 Sep 1992,30,Animation|Adventure|Comedy,,,"Rob Paulsen, April Winchell, Jim Cummings",English,United States,1 win & 2 nominations,-1.0,6.8,"8,525",tt0103428,,,,,
Gotta Kick It Up!,2002,TV-G,26 Jul 2002,78,Comedy|Drama|Family,Ramón Menéndez,"Meghan Cole (story), Nancy De Los Santos (story), Nancy De Los Santos (teleplay), Ramón Menéndez (teleplay), Tom Musca (teleplay), Stu Krieger (teleplay)","Camille Guaty, America Ferrera, Jhoanna Flores, Suilma Rodriguez",English,USA,2 nominations.,-1.0,5.8,"1,694",tt0299943,,,,,
Grand Canyonscope,1954,Approved,23 Dec 1954,7,Family|Comedy|Animation,Charles A. Nichols,"Milt Schaffer, Nick George","James MacDonald, Clarence Nash, Bill Thompson",English,United States,,-1.0,6.9,640,tt0047043,181851.0,Grand Canyonscope (1954),Animation,Grand Canyonscope,1954.0
The Grasshopper and the Ants,1934,Approved,10 Feb 1934,8,Animation|Short|Comedy,Wilfred Jackson,"Aesop, Pinto Colvig, William Cottrell","Dorothy Compton, Pinto Colvig",English,United States,,-1.0,7.3,"1,678",tt0025200,182239.0,The Grasshopper and the Ants (1934),Animation,The Grasshopper and the Ants,1934.0
Great Migrations,2010,TV-PG,07 Nov 2010,45,Documentary,,,"Tarkan, Alec Baldwin, Stephen Fry",English,United States,3 wins & 1 nomination,-1.0,8.1,814,tt1769803,168644.0,Great Migrations (2010),Documentary,Great Migrations,2010.0
Greyfriars Bobby: The True Story of a Dog,1961,Approved,17 Jul 1961,87,Drama|Family,Don Chaffey,"Robert Westerby, Eleanor Atkinson","Donald Crisp, Laurence Naismith, Alex Mackenzie",English,United States,,-1.0,7.3,"1,560",tt0054944,,,,,
Gus,1976,G,07 Jul 1976,96,Comedy|Family|Sport,Vincent McEveety,"Ted Key, Arthur Alsberg, Don Nelson","Edward Asner, Don Knotts, Gary Grimes",English,United States,,52.0,5.7,"1,897",tt0074599,6050.0,Gus (1976),Children|Comedy,Gus,1976.0
Halloweentown,1998,TV-G,17 Oct 1998,84,Adventure|Comedy|Family|Fantasy,Duwayne Dunham,"Paul Bernbaum (story), Paul Bernbaum (teleplay), Jon Cooksey (teleplay), Ali Marie Matheson (teleplay)","Debbie Reynolds, Kimberly J. Brown, Judith Hoag, Joey Zimmerman",English,USA,2 nominations.,-1.0,6.7,"14,459",tt0173886,125970.0,Halloweentown (1998),Adventure|Children|Comedy|Fantasy,Halloweentown,1998.0
Halloweentown High,2004,TV-G,08 Oct 2004,82,Comedy|Family|Fantasy,Mark A.Z. Dippé,"Paul Bernbaum (characters), Dan Berendsen (teleplay)","Kimberly J. Brown, Debbie Reynolds, Judith Hoag, Joey Zimmerman",English,USA,,-1.0,6.2,"6,355",tt0414078,125974.0,Halloweentown High (2004),Adventure|Children|Comedy|Fantasy,Halloweentown High,2004.0
Halloweentown II: Kalabar's Revenge,2001,TV-PG,12 Oct 2001,81,Adventure|Family|Fantasy,Mary Lambert,"Jon Cooksey, Ali Marie Matheson, Paul Bernbaum (based on characters created by)","Kimberly J. Brown, Judith Hoag, Daniel Kountz, Joey Zimmerman",English,USA,2 nominations.,-1.0,6.4,"7,703",tt0274761,125972.0,Halloweentown II: Kalabar's Revenge (2001),Adventure|Children|Comedy|Drama|Fantasy,Halloweentown II: Kalabar's Revenge,2001.0
Handy Manny,2006,TV-Y,16 Sep 2006,24,Animation|Comedy|Family,,"Roger Bollen, Marilyn Sadler, Richard Gitelson","Wilmer Valderrama, Dee Bradley Baker, Nancy Truman","English, Spanish","United States, Canada",8 wins & 1 nomination,-1.0,5.6,"1,921",tt0451460,,,,,
Hannah Montana: The Movie,2009,G,10 Apr 2009,102,Comedy|Drama|Family,Peter Chelsom,"Dan Berendsen, Michael Poryes, Richard Correll","Miley Cyrus, Emily Osment, Billy Ray Cyrus",English,United States,6 wins & 10 nominations,47.0,4.5,"41,988",tt1114677,70334.0,Hannah Montana: The Movie (2009),Comedy|Drama|Musical|Romance,Hannah Montana: The Movie,2009.0
Hatching Pete,2009,TV-G,24 Apr 2009,90,Comedy|Family,Stuart Gillard,Paul W. Cooper,"Jason Dolley, Mitchel Musso, Tiffany Thornton, Josie Loren",English,USA,1 nomination.,-1.0,5.4,"2,550",tt1222818,,,,,
Hawaiian Holiday,1937,Passed,24 Sep 1937,8,Animation|Short|Comedy,Ben Sharpsteen,Vernon Stallings,"Pinto Colvig, Walt Disney, Marcellite Garner",English,United States,,-1.0,7.0,"1,442",tt0028981,187347.0,Hawaiian Holiday (1937),Animation,Hawaiian Holiday,1937.0
Herbie Goes Bananas,1980,G,25 Jun 1980,100,Adventure|Comedy|Family,Vincent McEveety,"Don Tait, Gordon Buford","Charles Martin Smith, Stephen W. Burns, Cloris Leachman","English, Spanish",United States,2 nominations,55.0,5.0,"5,661",tt0080861,2050.0,Herbie Goes Bananas (1980),Adventure|Children|Comedy,Herbie Goes Bananas,1980.0
Herbie Rides Again,1974,G,06 Jun 1974,88,Comedy|Family|Fantasy,Robert Stevenson,"Bill Walsh, Gordon Buford","Helen Hayes, Ken Berry, Stefanie Powers",English,United States,1 nomination,49.0,5.7,"7,981",tt0071607,1011.0,Herbie Rides Again (1974),Children|Comedy|Fantasy|Romance,Herbie Rides Again,1974.0
High School Musical,2006,TV-G,20 Jan 2006,98,Comedy|Drama|Family|Music|Musical|Romance,Kenny Ortega,Peter Barsocchini,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel","English, Spanish",USA,Won 2 Primetime Emmys. Another 8 wins & 18 nominations.,-1.0,5.5,"82,812",tt0475293,46062.0,High School Musical (2006),Children|Comedy|Drama|Musical|Romance,High School Musical,2006.0
High School Musical 2,2007,TV-G,17 Aug 2007,104,Comedy|Drama|Family|Music|Musical|Romance,Kenny Ortega,"Peter Barsocchini (based on characters created by), Peter Barsocchini","Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",English,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,-1.0,5.1,"56,690",tt0810900,61123.0,High School Musical 2 (2007),Comedy|Drama|Musical|Romance,High School Musical 2,2007.0
High School Musical: The Musical - The Series,2019,TV-PG,12 Nov 2019,31,Comedy|Drama|Musical,,Tim Federle,"Olivia Rodrigo, Joshua Bassett, Matt Cornett",English,United States,1 win & 9 nominations,-1.0,7.2,"6,237",tt8510382,,,,,
"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89,Adventure|Comedy|Family,Randal Kleiser,"Stuart Gordon, Brian Yuzna, Ed Naha","Rick Moranis, Marcia Strassman, Robert Oliveri",English,United States,10 nominations,50.0,4.8,"43,733",tt0104437,2053.0,"Honey, I Blew Up the Kid (1992)",Children|Comedy|Sci-Fi,"Honey, I Blew Up the Kid",1992.0
"Honey, We Shrunk Ourselves!",1997,PG,18 Mar 1997,74,Action|Adventure|Comedy|Family|Sci-Fi,Dean Cundey,"Stuart Gordon (based on characters created by), Brian Yuzna (based on characters created by), Ed Naha (based on characters created by), Karey Kirkpatrick, Nell Scovell, Joel Hodgson","Rick Moranis, Eve Gordon, Bug Hall, Robin Bartlett",English,USA,,-1.0,5.0,"14,057",tt0119310,,,,,
Horse Sense,1999,TV-G,20 Nov 1999,92,Drama|Family,Greg Beeman,"Chad Hayes, Carey W. Hayes","Joey Lawrence, Andrew Lawrence, Susan Walters, M.C. Gainey",English,USA,1 nomination.,-1.0,6.2,"1,707",tt0219813,143233.0,Horse Sense (1999),Drama,Horse Sense,1999.0
Hostile Planet,2019,G,01 Apr 2019,47,Documentary,,,Bear Grylls,English,United States,Nominated for 3 Primetime Emmys. 4 nominations total,-1.0,8.3,706,tt8390274,,,,,
Hounded,2001,TV-G,01 Apr 2001,91,Comedy|Drama|Family,Neal Israel,"Don Calame, Chris Conroy","Tahj Mowry, Craig Kirkwood, Shia LaBeouf, Ed Begley Jr.",English,USA,,-1.0,5.0,954,tt0274557,153710.0,,Drama,,
How Dogs Got Their Shapes,2016,G,17 Apr 2016,44,Documentary,Keith Haskel,"Keith Haskel, Stan Hsue (developed by), Timothy Kuryak (developed by), Joseph Stanton (developed by)",,English,USA,,-1.0,6.8,91,tt5648768,,,,,
How to Build a Better Boy,2014,TV-G,15 Aug 2014,90,Comedy|Family|Sci-Fi,Paul Hoen,Jason Mayland,"China Anne McClain, Kelli Berglund, Marshall Williams, Matt Shively","English, French",USA,2 nominations.,-1.0,5.4,"2,832",tt3098874,150236.0,How to Build a Better Boy (2014),Children|Sci-Fi,How to Build a Better Boy,2014.0
How to Fish,1942,Approved,04 Dec 1942,7,Comedy|Family|Animation,Jack Kinney,,John McLeish,English,United States,,-1.0,6.8,"1,082",tt0034873,,,,,
How to Swim,1942,Approved,23 Oct 1942,8,Animation|Short|Comedy,Jack Kinney,"Webb Smith, Ralph Wright",John McLeish,English,United States,,-1.0,7.0,"1,051",tt0034875,,,,,
I'll Be Home for Christmas,1998,PG,13 Nov 1998,86,Comedy|Family,Arlene Sanford,"Tom Nursall, Harris Goldberg, Michael Allin","Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna",English,"United States, Canada",,-1.0,5.5,"10,550",tt0155753,182661.0,,Children|Drama,,
Ice Age: The Great Egg-Scapade,2016,TV-G,20 Mar 2016,25,Animation|Short|Adventure|Comedy|Family,"Paul Stodolny, Ricardo Curtis, Steve Martino, Mike Thurmeier",Jim Hecht,"Blake Anderson, Tyree Brown, David Cowgill, Jennifer Elrod",English,USA,,-1.0,5.9,"3,186",tt5480340,156025.0,Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy,Ice Age: The Great Egg-Scapade,2016.0
Inner Workings,2016,G,23 Nov 2016,6,Animation|Short|Adventure,Leonardo Matsuda,Leonardo Matsuda,"Tucker Gilmore, Raymond S. Persi",English,United States,1 win,-1.0,7.7,"4,621",tt5807512,166802.0,Inner Workings (2016),Animation|Comedy,Inner Workings,2016.0
Inspector Gadget 2,2003,G,11 Mar 2003,89,Action|Comedy|Crime|Family|Sci-Fi,Alex Zamm,"Andy Heyward (characters), Jean Chalopin (characters), Bruno Bianchi (characters), Ron Anderson, William Robertson, Alex Zamm","French Stewart, Elaine Hendrix, Tony Martin, Caitlin Wachs",English,"USA, Australia",4 nominations.,-1.0,3.5,"5,882",tt0301454,170285.0,Inspector Gadget 2 (2003),Action|Adventure|Children|Comedy,Inspector Gadget 2,2003.0
Into the Okavango,2018,G,22 Apr 2018,88,Documentary,Neil Gelinas,"Neil Gelinas, Brian Newell","Chris Boyes, Jack Boyes, Steve Boyes",English,"United States, Angola, Botswana, Namibia, South Africa",1 win & 3 nominations,-1.0,7.6,415,tt7573844,,,,,
Invisible Sister,2015,TV-G,09 Oct 2015,80,Adventure|Comedy|Family|Fantasy,Paul Hoen,"Billy Eddy (teleplay by), Billy Eddy (television story by), Matt Eddy (teleplay by), Matt Eddy (television story by), Jessica O'Toole (television story by), Amy Rardin (television story by)","Rowan Blanchard, Paris Berelc, Karan Brar, Rachel Crow",English,USA,1 nomination.,-1.0,6.0,"2,720",tt4420110,144216.0,Invisible Sister (2015),Adventure|Comedy|Fantasy,Invisible Sister,2015.0
Iron Man: Armored Adventures,2008,TV-Y7,22 Nov 2008,22,Animation|Action|Adventure,,"Craig Kyle, Christopher L. Yost, Romain van Liemt","Adrian Petriw, Daniel Bacon, Anna Cummer",English,"Canada, United States, United Kingdom, France, Luxembourg",,-1.0,6.5,"3,498",tt0837143,,,,,
Jack-Jack Attack,2005,Not-Rated,11 Jan 2008,5,Animation|Short|Adventure|Comedy|Family,Brad Bird,"Brad Bird, Teddy Newton (story), Mark Andrews (story), Rob Gibbs (story), Bosco Ng (story)","Bret 'Brook' Parker, Bud Luckey, Eli Fucile, Jason Lee",English,USA,1 win & 1 nomination.,-1.0,7.6,"15,126",tt0455565,,,,,
Jane,2017,PG,24 Nov 2017,90,Documentary|Biography,Brett Morgen,"Brett Morgen, Jane Goodall","Jane Goodall, Hugo Van Lawick, Hugo Eric Louis van Lawick",English,United States,Won 2 Primetime Emmys. 37 wins & 36 nominations total,87.0,7.8,"5,011",tt7207238,180591.0,Jane (2017),Documentary,Jane,2017.0
Jessie,2011,TV-G,30 Sep 2011,30,Comedy|Drama|Family,,"Pamela Eells, Phil Baker, Drew Vaupen","Debby Ryan, Peyton List, Cameron Boyce",English,United States,Won 1 BAFTA Film Award2 wins & 12 nominations total,-1.0,6.1,"15,180",tt1865769,,,,,
Johnny Kapahala: Back on Board,2007,Not-Rated,23 Nov 2007,90,Comedy|Drama|Family|Sport,Eric Bross,"Ann Austen (teleplay), Douglas Sloan (teleplay), Max Enscoe (teleplay), Annie DeYoung (teleplay)","Brandon Baker, Jake T. Austin, Cary-Hiroyuki Tagawa, Robyn Lively",English,USA,2 wins.,-1.0,5.5,"2,053",tt0942378,,,,,
Johnny Tsunami,1999,TV-G,24 Jul 1999,88,Drama|Family|Sport,Steve Boyum,"Ann Austen, Douglas Sloan","Cary-Hiroyuki Tagawa, Brandon Baker, Mary Page Keller, Yuji Okumoto",English,USA,1 nomination.,-1.0,6.3,"5,083",tt0206064,135248.0,Johnny Tsunami (1999),Children|Drama,Johnny Tsunami,1999.0
Journey to the Center of the Earth,1959,Approved,01 Dec 1959,129,Adventure|Family|Fantasy,Henry Levin,"Walter Reisch, Charles Brackett, Jules Verne","James Mason, Pat Boone, Arlene Dahl","Icelandic, English, Swedish, French, Italian, Russian",United States,Nominated for 3 Oscars. 1 win & 5 nominations total,-1.0,7.0,"17,186",tt0052948,6239.0,Journey to the Center of the Earth (1959),Adventure|Children|Sci-Fi,Journey to the Center of the Earth,1959.0
Jump In!,2007,TV-G,27 Apr 2007,85,Comedy|Drama|Family|Romance|Sport,Paul Hoen,"Doreen Spicer, Regina Y. Hicks, Karin Gist","Corbin Bleu, Keke Palmer, David Reivers, Shanica Knowles",English,USA,2 wins & 2 nominations.,-1.0,5.4,"7,165",tt0805559,143031.0,Jump In! (2007),Comedy|Drama|Romance,Jump In!,2007.0
Jumping Ship,2001,TV-G,17 Aug 2001,93,Family|Adventure|Comedy|Drama,Michael Lange,"Chad Hayes, Carey W. Hayes","Joey Lawrence, Matthew Lawrence, Andrew Lawrence, Susan Walters",English,"Australia, USA",,-1.0,6.2,"1,719",tt0271172,170275.0,Jumping Ship (2001),Children|Drama,Jumping Ship,2001.0
Jungle Cat,1960,Approved,23 Dec 1960,69,Documentary|Family,James Algar,James Algar,Winston Hibler,English,United States,1 win & 1 nomination,-1.0,7.2,326,tt0053977,170167.0,,(no genres listed),,
